9.332617159981795307e-01,2.149389468488376378e-04,6.295951917361634897e-02,6.150958665513599488e-01,2.614417331027198976e-01
9.332610159690584162e-01,2.149371221003881284e-04,6.291495089158910536e-02,6.153977716738394665e-01,2.620455433476790996e-01
9.332414149341237142e-01,2.387719863475260430e-04,6.342828202040315388e-02,6.154889708884687671e-01,2.622279417769374232e-01
9.332547156442414504e-01,4.297830073349632996e-04,6.263704261928898509e-02,6.148807162796026127e-01,2.610114325592051143e-01
9.332421149632449398e-01,3.103915432612005957e-04,6.337375177887974442e-02,6.154651305950867846e-01,2.621802611901736246e-01
9.332473652443800116e-01,4.894258422972269044e-04,6.351032942386797275e-02,6.153056726685375288e-01,2.618613453370748911e-01
9.332442150819715287e-01,4.059080041963670127e-04,6.370494085607159018e-02,6.154343964203511375e-01,2.621187928407022194e-01
9.332403648590789080e-01,9.787167304223685568e-04,6.361876757151485595e-02,6.148048274709856376e-01,2.608596549419713306e-01
9.332057131039492859e-01,1.109382443977904691e-03,6.353007892884184049e-02,6.151939581555883052e-01,2.616379163111764994e-01
9.331392099297157738e-01,2.062252469267359875e-03,6.375893053187278725e-02,6.146454843133262180e-01,2.605409686266523805e-01
