9.332596159108159650e-01,2.149371221003881284e-04,6.303700207178482284e-02,6.154782213060320251e-01,2.622064426120641056e-01
9.332487653339852640e-01,2.507195262629540009e-04,6.229753058999613208e-02,6.144689163103898011e-01,2.601878326207796577e-01
9.332417649800472947e-01,3.462268623416510913e-04,6.182538438449775714e-02,6.131134556638145883e-01,2.574769113276291210e-01
9.332438650987738837e-01,3.223609737455290303e-04,6.089913552449723044e-02,6.103890283078035051e-01,2.520280566156070101e-01
9.332389648635623924e-01,2.507195262629540009e-04,6.022842364697952866e-02,6.085593535790265740e-01,2.483687071580530092e-01
9.332389648635623924e-01,2.507195262629540009e-04,5.948023817387571022e-02,6.061296947783355593e-01,2.435093895566711741e-01
9.332267141971264390e-01,2.745735559455437938e-04,5.882283779765527798e-02,6.041907207574053196e-01,2.396314415148104726e-01
9.332106133705238005e-01,3.461529867922368063e-04,5.797936811313562921e-02,6.013089268118350095e-01,2.338678536236701300e-01
9.332092133122813493e-01,3.700170537055207619e-04,5.757172598857771689e-02,5.992629949927452682e-01,2.297759899854905641e-01
9.331980127522530033e-01,4.654660357396111321e-04,5.686173126448597348e-02,5.970731814853325048e-01,2.253963629706651206e-01
